,Unnamed: 0,CustomerID,review_id,flight_id,names,gender,customer_type,age,type_of_travel,class,flight_distance,seat_comfort,deptarrive_time_convenient,food_drink,gate_location,inflight_wifi,inflight_entertainment,online_support,ease_online_booking,onboard_service,legroom_service,baggage_handling,checkin_service,cleanliness,online_boarding,dept_delay_min,arrival_delay_min,timestamp,destination
127031,127031,586-95-9263,108952,S9263,Eartha Vandervort,M,Loyal Customer,60.0,Business travel,Business,3665.0,2.0,2.0,2.0,2.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,35.0,36.0,14/4/2021 13:06,Shanghai
14555,14555,238-19-7911,89336,S7911,Icie Brakus,M,Loyal Customer,12.0,Personal Travel,Eco,1833.0,2.0,4.0,2.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,135.0,119.0,18/4/2021 3:08,Shanghai
119690,119690,009-70-1752,76699,S1752,Zula Klein,M,Loyal Customer,43.0,Business travel,Business,356.0,2.0,2.0,2.0,2.0,3.0,4.0,4.0,5.0,5.0,5.0,5.0,3.0,5.0,3.0,0.0,0.0,4/4/2021 19:08,Shanghai
71777,71777,247-12-2725,104291,S2725,Kelly Goodwin,M,Loyal Customer,57.0,Business travel,Business,475.0,2.0,2.0,2.0,2.0,5.0,5.0,4.0,2.0,2.0,2.0,2.0,3.0,2.0,5.0,2.0,0.0,29/4/2021 6:42,Shanghai
106080,106080,092-94-7378,113430,S7378,Camisha Jacobson,F,Loyal Customer,52.0,Business travel,Business,3715.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,5.0,17.0,11.0,4/4/2021 21:33,Shanghai
40863,40863,598-52-5827,70688,S5827,Maximus Schamberger,F,disloyal Customer,37.0,Business travel,Business,2868.0,1.0,0.0,0.0,1.0,3.0,0.0,3.0,3.0,5.0,3.0,5.0,4.0,4.0,3.0,28.0,41.0,17/4/2021 23:56,Shanghai
113035,113035,135-28-6197,96641,S6197,Echo Effertz,M,Loyal Customer,39.0,Business travel,Business,248.0,2.0,2.0,3.0,2.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,4.0,5.0,0.0,0.0,13/4/2021 22:02,Shanghai
16133,16133,640-20-1573,51612,S1573,Nile Hodkiewicz,F,Loyal Customer,20.0,Personal Travel,Eco,1057.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,2.0,4.0,44.0,33.0,21/4/2021 18:01,Shanghai
24784,24784,073-46-4463,87612,S4463,Sharon Maggio,M,Loyal Customer,42.0,Personal Travel,Eco,493.0,2.0,2.0,2.0,2.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,3.0,5.0,3.0,0.0,0.0,18/4/2021 5:26,Shanghai
17370,17370,268-06-4454,57187,S4454,Mirtie Swaniawski,F,Loyal Customer,20.0,Personal Travel,Eco,1931.0,3.0,3.0,3.0,3.0,3.0,5.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,0.0,0.0,15/4/2021 13:55,Shanghai
